Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Assessment Methods (product.metafields.custom.assessment_methods),Course Duration (product.metafields.custom.course_duration),Course Start Dates (product.metafields.custom.course_start_dates),Course Structure (product.metafields.custom.course_structure),Entry Requirements (product.metafields.custom.entry_requirments),Progression Opportunities (product.metafields.custom.progression_opportunities),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Skin care effect (product.metafields.shopify.skin-care-effect),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
luxury-hydrafacial-buy-1-get-2nd-half-price,Luxury Hydrafacial (Buy 1 get 2nd half price),"<p><span>Experience the ultimate in hydration with our Hydrafacial, a premium treatment that delivers deep cleansing and nourishment for a radiant complexion. This advanced facial combines gentle exfoliation, extraction, and infusion of hydrating serums to revitalize and rejuvenate your skin. Our expert aestheticians tailor the treatment to address your specific skin concerns, leaving your skin refreshed, glowing, and perfectly hydrated. Enjoy a luxurious, transformative skincare experience at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansing Kits,"",Facials,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,150.00,200.00,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/WhatsAppImage2026-03-12at18.38.54.jpg?v=1773410696,1,"",false,,,7467,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
microdermabrasion-3-sessions,Microdermabrasion (3 sessions),"<p><span>Reveal smoother, more radiant skin with our Microdermabrasion treatment. This advanced procedure uses gentle exfoliation to remove dead skin cells and stimulate collagen production, improving texture and reducing signs of aging. Our expert aestheticians deliver a customized treatment that brightens and refines your complexion, leaving your skin rejuvenated and glowing. Experience professional skincare excellence at our distinguished beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Skin Care,"",Clinic Services,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,100.00,150.00,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/GreyElegantBeautyClinicPoster.png?v=1773239170,1,"",false,,,567,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
gold-facial-3-session,Gold Facial (3 Session),"<p><meta charset=""UTF-8""><span>Elevate your skincare routine with our opulent 24K Gold Facial. Infused with real 24K gold, this luxurious treatment enhances your skin’s radiance and firmness. Our expert aestheticians use advanced techniques to deeply cleanse, hydrate, and rejuvenate your complexion, reducing fine lines and promoting a youthful glow. Experience unparalleled elegance and transformative results with this premium facial at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansing Kits,"","Facials, Salon Services",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,120.00,180.00,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/GreenGoldMinimalistBeautyCarePromotionPoster.png?v=1773238928,1,"",false,,,7467,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
hollywood-laser-hair-removal-10-sessions,Hollywood Laser Hair Removal (10 Sessions),"<p><span>Enjoy smooth, hair-free Laser Hair Removal. This efficient treatment uses advanced laser technology to target and eliminate unwanted hair, ensuring long-lasting results with minimal discomfort. Experience a clean, refined look and exceptional care at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Shaving & Grooming > Hair Removal > Laser & IPL Hair Removal Devices > IPL Hair Removal Devices,"",Laser Hair Removal Women,false,Title,Default Title,,,,,,,,,0.0,,deny,manual,300.00,750.00,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Full_Stomach_Laser_Hair_Removal_fe90c881-e4a0-466a-8016-657af856ba43.png?v=1744028787,1,"",false,,,7199,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,draft
detox,Detox IV Drop,"<p><meta charset=""utf-8""><strong>Consultation required before IV administration<br><br>Detox</strong> IV drips deliver fluids, vitamins, antioxidants, and nutrients directly into the bloodstream to support liver function, boost hydration, and remove toxins<span>. They offer faster, 100% absorption compared to oral supplements, targeting deeper toxin build-up from environmental stress or lifestyle factors. Options range from gentle to advanced, typically administered in 30-minute sessions to improve skin, energy, and overall health.<br><meta charset=""utf-8""></span></p>
<p><strong>Key Aspects</strong></p>
<ul class=""KsbFXc U6u95"" data-processed=""true"">
<li data-hveid=""CAMQAA"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Purpose:</strong><span> </span>These drips aim to cleanse the body, support liver health, and enhance mental clarity.</span></li>
<li data-hveid=""CAMQAQ"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Components:</strong><span> </span>Formulations usually include tailored blends of vitamins, minerals, and amino acids designed to flush out toxins.</span></li>
<li data-hveid=""CAMQAg"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Effectiveness:</strong><span> </span>Because they bypass the digestive system, IV drips allow for 100% absorption of nutrients, offering faster, more effective results than oral supplements.</span></li>
</ul>
<p><strong><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true"">Potential Benefits</span></strong></p>
<ul class=""KsbFXc U6u95"" data-processed=""true"">
<li data-hveid=""CAUQAA"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Improved Energy:</strong><span> </span>Helps with fatigue, burnout, and stress-related exhaustion.</span></li>
<li data-hveid=""CAUQAQ"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Enhanced Skin:</strong><span> </span>Promotes clearer, healthier-looking skin.</span></li>
<li data-hveid=""CAUQAg"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Immune System Support:</strong><span> </span>Boosts immune function</span></li>
</ul>
<p><span><br></span></p>",Pink Beauty Salon,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Digestive Supplements,"",IV Drips,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/IVWELLNESSDRIPS_4_3a28752c-e026-431e-a87b-4d4b5ac6a902.png?v=1769616739,1,"",false,,,525,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
anti-aging,Anti Aging IV Drop,"<p><meta charset=""utf-8""><meta charset=""utf-8""><strong>Consultation required before IV administration<br></strong><br></p>
<p><span>Anti-ageing IV drips deliver a potent, direct-to-bloodstream blend of antioxidants like </span><span data-processed=""true"">glutathione</span><span>, vitamins (specifically Vitamin C), and sometimes </span><span data-processed=""true"">NAD+</span><span> to combat oxidative stress and cellular damage. These 30-60 minute sessions aim to boost collagen production, improve skin elasticity, increase energy, and enhance overall rejuvenation. Benefits are often immediate, with effects lasting 4 to 6 weeks<br><br><strong>Key components and benefits</strong></span></p>
<ul class=""KsbFXc U6u95"" data-processed=""true"">
<li data-hveid=""CAQQAA"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Glutathione:</strong><span> </span>Known as the ""mother of all antioxidants,"" it fights free radicals, detoxifies, and reduces signs of aging.</span></li>
<li data-hveid=""CAQQAQ"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Vitamin C &amp; B Vitamins:</strong><span> </span>Crucial for collagen production, skin elasticity, and repairing muscle tissue.</span></li>
<li data-hveid=""CAQQAg"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">NAD+ (Nicotinamide adenine dinucleotide):</strong><span> </span>A coenzyme that promotes cellular regeneration, DNA repair, and mitochondrial health.</span></li>
<li data-hveid=""CAQQAw"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Amino Acids:</strong><span> </span>Support skin firmness and tissue repair.</span></li>
</ul>
<div class=""Y3BBE"" data-sfc-cp="""" data-hveid=""CAUQAA"" data-processed=""true"">
<strong class=""Yjhzub"" data-processed=""true"">Targeted Effect</strong><br>
</div>
<ul class=""KsbFXc U6u95"" data-processed=""true"">
<li data-hveid=""CAYQAQ"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Cellular Repair:</strong><span> </span>Enhanced energy levels and, in some cases, deep repair of cellular damage.</span></li>
<li data-hveid=""CAYQAg"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Wellness Boost:</strong><span> </span>Strengthened immune system and reduced fatigue</span></li>
<li data-hveid=""CAYQAg"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><meta charset=""utf-8""> <strong class=""Yjhzub"" data-processed=""true"">Skin Rejuvenation:</strong><span> </span>Reduced fine lines, increased hydration, and improved, radiant skin tone.</span></li>
</ul>
<p><strong><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true"">Treatment Details:</span></strong></p>
<ul class=""KsbFXc U6u95"" data-processed=""true"">
<li data-hveid=""CAgQAA"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Procedure:</strong><span> </span>A small cannula is inserted into a vein, typically in the arm, for direct nutrient absorption.</span></li>
<li data-hveid=""CAgQAQ"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Session Time:</strong><span> </span>Generally 30-60 minutes, though some intensive NAD+ protocols may last longer.</span></li>
<li data-hveid=""CAgQAg"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Frequency:</strong><span> </span>Often recommended every 4-6 weeks for maintenance</span></li>
</ul>",Pink Beauty Salon,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Digestive Supplements,"",IV Drips,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/IVWELLNESSDRIPS_3.png?v=1769616738,1,"",false,,,525,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
mega-v-drip,Mega V IV Drop,"<p><meta charset=""utf-8""><meta charset=""utf-8""><strong>Consultation required before IV administration<br></strong><br></p>
<p>The <strong>Mega V</strong> IV drip is a high-potency, intravenous infusion of vitamins, minerals, and amino acids (including B-complex, Magnesium, and Glutathione) designed to rapidly increase energy, boost immunity, and accelerate recovery from fatigue or intense exercise.</p>
<p><strong class=""Yjhzub"" data-processed=""true"">Key Detail</strong><br></p>
<ul class=""KsbFXc U6u95"" data-processed=""true"">
<li data-hveid=""CAQQAQ"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Key Ingredients:</strong><span> </span>Often contains a high-dose mix of B-complex vitamins, amino acids (L-Arginine, L-Carnitine, L-Lysine), Taurine, Magnesium, and antioxidants like Glutathione and Acetylcysteine.</span></li>
<li data-hveid=""CAQQAQ"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><meta charset=""utf-8""> <strong class=""Yjhzub"" data-processed=""true"">Purpose:</strong><span> </span>Enhanced energy, immunity, stress reduction, and athletic recovery.</span></li>
<li data-hveid=""CAQQAg"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Duration:</strong><span> </span>30–60 minutes.</span></li>
<li data-hveid=""CAQQBA"" data-processed=""true""><span class=""T286Pc"" data-sfc-cp="""" data-processed=""true""><strong class=""Yjhzub"" data-processed=""true"">Frequency:</strong><span> </span>Recommended once a week, though this varies</span></li>
</ul>",Pink Beauty Salon,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Digestive Supplements,"",IV Drips,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,250.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/IVWELLNESSDRIPS_2.png?v=1769616736,1,"",false,,,525,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
myers-cocktail,Myers Cocktail IV Drop,"<p><meta charset=""utf-8""><meta charset=""utf-8""><strong>Consultation required before IV administration<br></strong><br></p>
<p><span>The Myers' Cocktail is </span>an intravenous (IV) nutrient therapy developed in the 1970s, designed to deliver high doses of vitamins and minerals directly into the bloodstream for improved absorption<span>. It typically contains Vitamin C, B-complex vitamins, magnesium, and calcium to boost energy, enhance immunity, and manage chronic conditions.<br><br><meta charset=""utf-8""></span></p>
<div class=""Y3BBE"" data-sfc-cp="""" data-hveid=""CAEIABAS"">
<strong class=""Yjhzub"">Key Components and Purpose<br><br><meta charset=""utf-8""></strong>
<ul class=""KsbFXc U6u95"">
<li data-hveid=""CAEIAhAA""><span class=""T286Pc"" data-sfc-cp=""""><strong class=""Yjhzub"">Ingredients:</strong><span> </span>Usually includes magnesium sulfate, calcium, B vitamins (B12, B6, B5, B-complex), Vitamin C, and sometimes glutathione or zinc.</span></li>
<li data-hveid=""CAEIAhAB""><span class=""T286Pc"" data-sfc-cp=""""><strong class=""Yjhzub"">Purpose:</strong><span> </span>Aimed at treating conditions like chronic fatigue, migraines, fibromyalgia, acute muscle spasms, and upper respiratory tract infections.</span></li>
<li data-hveid=""CAEIAhAC""><span class=""T286Pc"" data-sfc-cp=""""><strong class=""Yjhzub"">Administration:</strong><span> </span>Delivered via IV over 30–60 minutes, bypassing the digestive system for higher, immediate bioavailability.</span></li>
</ul>
</div>
<div class=""Y3BBE"" data-sfc-cp="""" data-hveid=""CAEIAxAA"">
<strong class=""Yjhzub""><br></strong><strong class=""Yjhzub"" style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">Benefits:</strong><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""> </span><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">Increased energy, enhanced immunity, reduced stress, and improved mental clarity.</span>
</div>
<div id=""sdh_4Rh6acCdKJKshbIPmaTcgQM_9""></div>
<p> </p>",Pink Beauty Salon,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Digestive Supplements,"",IV Drips,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/IVWELLNESSDRIPS_1.png?v=1769616735,1,"",false,,,525,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
glutathione-and-vitamin-c-iv-drip-1,Glutathione and Vitamin C IV drip,"<p><meta charset=""utf-8""><meta charset=""utf-8""><strong>Consultation required before IV administration</strong><br></p>
<p><span><meta charset=""utf-8"">An intravenous (IV) drip combining <strong data-processed=""true"" class=""Yjhzub"">glutathione and Vitamin C</strong> offers enhanced benefits due to their synergistic effect, primarily in antioxidant protection, detoxification, immune system support, and skin health. This method ensures maximum absorption by bypassing the digestive system<br><br><strong>Key Benefits</strong><meta charset=""utf-8""> <strong class=""Yjhzub""><meta charset=""utf-8""></strong></span></p>
<ul data-processed=""true"" class=""KsbFXc U6u95"">
<li data-processed=""true"" data-hveid=""CAQQAA""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Powerful Antioxidant Protection</strong>: Glutathione, the ""master antioxidant,"" and Vitamin C work together to neutralize free radicals, which cause cellular damage and premature aging. They also help regenerate each other, amplifying their protective capabilities.</span></li>
<li data-processed=""true"" data-hveid=""CAQQAQ""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Enhanced Detoxification</strong>: Glutathione is crucial for the liver's detoxification processes, helping eliminate environmental toxins, heavy metals, and metabolic waste. Vitamin C further supports liver function, making the body more efficient at cleansing harmful substances.</span></li>
<li data-processed=""true"" data-hveid=""CAQQAg""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Immune System Support</strong>: Both nutrients are vital for a robust immune system. Vitamin C enhances white blood cell production and function, while glutathione maintains immune cell health, helping the body fight infections more effectively.</span></li>
<li data-processed=""true"" data-hveid=""CAQQAw"">
<span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Skin Brightening and Anti-Aging</strong>: This is one of the most popular benefits.</span>
<ul data-processed=""true"" class=""KsbFXc U6u95"">
<li data-processed=""true"" data-hveid=""CAQQBA""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc"">Glutathione inhibits the enzyme tyrosinase, which is responsible for melanin production, leading to a brighter, more even skin tone and reduced hyperpigmentation (dark spots, acne scars, melasma).</span></li>
<li data-processed=""true"" data-hveid=""CAQQBQ""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc"">Vitamin C is essential for collagen synthesis, which improves skin elasticity and firmness, reducing fine lines and wrinkles.</span></li>
<li data-processed=""true"" data-hveid=""CAQQBg""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc"">Together, they protect the skin from UV damage and pollution, promoting a radiant and youthful appearance.</span></li>
</ul>
</li>
<li data-processed=""true"" data-hveid=""CAQQBw""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Increased Energy and Reduced Fatigue</strong>: By supporting mitochondrial function (the cell's powerhouses) and reducing oxidative stress, the combination can boost energy levels and improve physical and mental stamina, reducing symptoms of chronic fatigue.</span></li>
<li data-processed=""true"" data-hveid=""CAQQCA""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Anti-Inflammatory Action</strong>: Chronic inflammation is linked to various health conditions. The combined antioxidant therapy helps reduce inflammatory markers, benefiting overall health and conditions like acne, eczema, and psoriasis.</span></li>
<li data-processed=""true"" data-hveid=""CAQQCQ""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Faster Recovery</strong>: The treatment aids in faster recovery from strenuous exercise or illness by reducing muscle soreness, speeding up tissue repair, and enhancing the immune response.</span></li>
<li data-processed=""true"" data-hveid=""CAQQCg""><span data-processed=""true"" data-sfc-cp="""" class=""T286Pc""><strong data-processed=""true"" class=""Yjhzub"">Enhanced Brain Health</strong>: Neuroprotective benefits include improved memory, focus, and mental clarity by protecting brain cells from oxidative damage</span></li>
</ul>",Pink Beauty Salon,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Digestive Supplements,"",IV Drips,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,250.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/IV_WELLNESS_DRIPS_5.png?v=1769616734,1,"",false,,,525,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
micro-needling-copy,Micro Needling 6 sessions,"<p><span>Discover radiant, youthful skin with our Microneedling treatment, a cutting-edge procedure that stimulates collagen production and skin renewal. Using ultra-fine needles, our expert aestheticians create micro-channels in the skin to enhance the absorption of rejuvenating serums and promote healing. This luxurious treatment effectively reduces fine lines, scars, and texture irregularities, leaving your complexion smooth, firm, and glowing. Experience the pinnacle of advanced skincare at our exclusive beauty clinic.</span></p>
<!---->",Pink Clinic,Health & Beauty > Personal Care > Cosmetics > Cosmetic Tools > Skin Care Tools,"","Clinic Services, Offers",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,500.00,650.00,false,false,,,,,,https://cdn.shopify.com/s/files/1/0784/7696/8266/files/Yellow_and_White_Minimalist_Micro_Needling_Benefits_Your_Story_1080_x_1080_px.png?v=1768584165,1,"",false,,,2958,,,,,TRUE,,,,,,,,,,,,TRUE,,,lb,,,true,,,active
